"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IHEMedicationOrderModel.prescriptionIntent","IHEMedicationOrderModel.prescriptionIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.prescriptionIntent",0,1,"",""
"IHEMedicationOrderModel.medication","IHEMedicationOrderModel.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/MedicinalProductModel]]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.medication",1,1,"",""
"IHEMedicationOrderModel.indication","IHEMedicationOrderModel.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the prescription (typically diagnosis, prophylaxis, or a procedure)","Reason for the prescription (typically diagnosis, prophylaxis, or a procedure)","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.indication",0,*,"",""
"IHEMedicationOrderModel.indicationText","IHEMedicationOrderModel.indicationText","","","",0,*,"","","","string {[]} {[]}
","Reason for the prescription in textual form. This might not be allowed by some implementations.","Reason for the prescription in textual form. This might not be allowed by some implementations.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.indicationText",0,*,"",""
"IHEMedicationOrderModel.indicationReference","IHEMedicationOrderModel.indicationReference","","","",0,*,"","","","string {[]} {[]}
","Reason for the prescription - as a reference to a problem, result, etc.","Reason for the prescription - as a reference to a problem, result, etc.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.indicationReference",0,*,"",""
"IHEMedicationOrderModel.treatmentPeriod","IHEMedicationOrderModel.treatmentPeriod","","","",0,1,"","","","Period {[]} {[]}
","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.treatmentPeriod",0,1,"",""
"IHEMedicationOrderModel.quantityPrescribed","IHEMedicationOrderModel.quantityPrescribed","","","",0,1,"","","","Quantity {[]} {[]}
","Overall quantity of prescribed product (e.g number of packages or number of tablets).","Overall quantity of prescribed product (e.g number of packages or number of tablets).","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.quantityPrescribed",0,1,"",""
"IHEMedicationOrderModel.dosageInstructions","IHEMedicationOrderModel.dosageInstructions","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/DosagingInformation]]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.dosageInstructions",0,*,"",""
"IHEMedicationOrderModel.preparationInstructions","IHEMedicationOrderModel.preparationInstructions","","","",0,1,"","","","string {[]} {[]}
","Additional instructions about preparation or dispense","Additional instructions about preparation or dispense","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.preparationInstructions",0,1,"",""
"IHEMedicationOrderModel.substitution","IHEMedicationOrderModel.substitution","","","",0,1,"","","","Base {[]} {[]}
","Whether and which type of substitution is allowed for this medication treatment line","Whether and which type of substitution is allowed for this medication treatment line","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.substitution",0,1,"",""
"IHEMedicationOrderModel.substitution.allowed[x]","IHEMedicationOrderModel.substitution.allowed[x]","","","",0,1,"","","","boolean {[]} {[]}
CodeableConcept {[]} {[]}","Whether substitution is allowed or not (or type of substitution).","Whether substitution is allowed or not (or type of substitution).","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.substitution.allowed[x]",0,1,"",""
"IHEMedicationOrderModel.substitution.reason[x]","IHEMedicationOrderModel.substitution.reason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the substitution permission","Reason why (a certain type of) substitution is or is not allowed","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.substitution.reason[x]",0,1,"",""
"IHEMedicationOrderModel.offLabel","IHEMedicationOrderModel.offLabel","","","",0,1,"","","","Base {[]} {[]}
","Indicates that the prescriber has knowingly prescribed the medication for an indication, age group, dosage, or route of administration that is not approved by the regulatory agencies and is not mentioned in the prescribing information for the product.","Indicates that the prescriber has knowingly prescribed the medication for an indication, age group, dosage, or route of administration that is not approved by the regulatory agencies and is not mentioned in the prescribing information for the product.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.offLabel",0,1,"",""
"IHEMedicationOrderModel.offLabel.isOffLabelUse","IHEMedicationOrderModel.offLabel.isOffLabelUse","","","",1,1,"","","","boolean {[]} {[]}
","Indicates off-label use. Must be 'true' when .reason is provided.","Indicates off-label use. Must be 'true' when .reason is provided.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.offLabel.isOffLabelUse",1,1,"",""
"IHEMedicationOrderModel.offLabel.reason[x]","IHEMedicationOrderModel.offLabel.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason or related clarification for off-label use.","Reason or related clarification for off-label use.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.offLabel.reason[x]",0,*,"",""
"IHEMedicationOrderModel.repeatsAllowed","IHEMedicationOrderModel.repeatsAllowed","","","",0,1,"","","","integer {[]} {[]}
","Number of refills authorized","How many times the prescription item can be dispensed in addition to the original dispense.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.repeatsAllowed",0,1,"",""
"IHEMedicationOrderModel.minimumDispenseInterval","IHEMedicationOrderModel.minimumDispenseInterval","","","",0,1,"","","","Duration {[]} {[]}
","Minimum Dispense Interval","If a prescription allows for repeated dispensations, the interval between dispensations shall be stated here.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.minimumDispenseInterval",0,1,"",""
"IHEMedicationOrderModel.comment","IHEMedicationOrderModel.comment","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.comment",0,*,"",""
