"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PractitionerRoleBasic","PractitionerRoleBasic","","","",0,*,"","","","null {[]} {[]}
","Practitioner role (model)","Logical model for a practitioner role within an organization (basic data relevant for this use case)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PractitionerRoleBasic.identifier","PractitionerRoleBasic.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiers for a role","Identifiers for a role","","","","","","","","","",,,,,"",,,,"PractitionerRoleBasic.identifier",0,*,"",""
"PractitionerRoleBasic.practitioner","PractitionerRoleBasic.practitioner","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic]]}
","Practitioner that provide services for the organization","Practitioner that provide services for the organization","","","","","","","","","",,,,,"",,,,"PractitionerRoleBasic.practitioner",1,1,"",""
"PractitionerRoleBasic.organization","PractitionerRoleBasic.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/OrganizationBasic]]}
","Organization where the roles are available","Organization where the roles are available","","","","","","","","","",,,,,"",,,,"PractitionerRoleBasic.organization",0,1,"",""
"PractitionerRoleBasic.role","PractitionerRoleBasic.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Roles which this practitioner may perform","Roles which this practitioner may perform","","","","","","","","","",,,,,"",,,,"PractitionerRoleBasic.role",0,*,"",""
